key,text,tag,translated
rjw.PartSizeConfigDef/DefaultAnusSizes.label,standard anus size config,label,标准肛门尺寸配置
ThingDef/Aphrodisiac.label,aphrodisiac drug,label,壮阳药
ThingDef/Aphrodisiac.description,A smokable drug made from humpshroom.,description,一种由驼峰制成的可吸食烟雾的成瘾品。
ThingDef/RJW_Contraceptive.label,contraception pill,label,避孕药丸
ThingDef/RJW_Contraceptive.description,Deliver severe hit to fertility for one quadrum.,description,对一个象的生育能力造成严重打击。
HediffDef/RJW_Contraceptive.label,contraceptive,label,避孕
HediffDef/RJW_Contraceptive.description,Contraception pills deliver severe hit to fertility for one quadrum.,description,避孕药丸会对一象的生育能力造成严重打击。
HediffDef/RJW_Contraceptive.stages.0.label,Contracepted,label,已避孕
ThingDef/RJW_FertPill.label,hyperfertility pill,label,生育丸
ThingDef/RJW_FertPill.description,Enhances fertility for 48 hours. Also works as a mild aphrodisiac.,description,提高 48 小时的生育能力。也可以作为一种温和的壮阳药。
HediffDef/RJW_FertPill.label,fertpill,label,机械丸
HediffDef/RJW_FertPill.description,Enhanced fertility. A mild aphrodisiac.,description,肥沃度提高。温和的壮阳药。
HediffDef/RJW_FertPill.stages.0.label,Hyperfertility,label,高繁殖力
ThingDef/PlantHumpShroom.label,humpshroom shroom,label,驼峰蘑菇
ThingDef/PlantHumpShroom.description,"Thick shroom with tough flesh, thick juice and smooth soft skin. Exhibits aphrodisiac effects when consumed, refills psyfocus.",description,拥有厚实的蘑菇，拥有坚韧的血肉、厚实的果汁和光滑柔软的皮肤。展示服用后的壮阳药效果，补充精神力。
ThingDef/HumpShroom.label,Hump shroom,label,驼峰蘑菇
ThingDef/HumpShroom.description,"A shroom with tough flesh, thick juice and smooth soft skin. Exhibits aphrodisiac effects when consumed, refills psyfocus.",description,拥有坚韧的肉块、厚实的果汁和光滑柔软的皮肤的蘑菇。展示服用后的壮阳药效果，补充精神力。
HediffDef/HumpShroomEffect.label,induced libido,label,性欲激发
HediffDef/HumpShroomEffect.description,Hump shroom aphrodisiac effects.,description,驼峰蘑菇的壮阳药效果。
ThoughtDef/HumpShroomEffect.stages.0.label,Humpshroom aftertaste,label,驼峰余韵
ThoughtDef/HumpShroomEffect.stages.0.description,Tastes funny.,description,味道不错。
ChemicalDef/HumpShroom.label,humpshroom,label,驼峰
NeedDef/Chemical_HumpShroom.label,humpshroom,label,驼峰
NeedDef/Chemical_HumpShroom.description,"Person is now hooked on shrooms. Without them, their bedroom performance may fall.",description,人们现在迷上了蘑菇。没有他们，他们的卧室表现可能会下降。
HediffDef/HumpShroomTolerance.label,humpshroom tolerance,label,驼峰耐受
HediffDef/HumpShroomTolerance.description,Hump shroom effects tolerance.,description,驼峰蘑菇效果耐受。
HediffDef/HumpShroomAddiction.label,humpshroom addiction,label,驼峰成瘾性
HediffDef/HumpShroomAddiction.description,Hump shroom effects addiction.,description,驼峰蘑菇会影响成瘾。
HediffDef/HumpShroomAddiction.stages.1.label,withdrawal,label,戒断反应
ThoughtDef/HumpShroomWithdrawal.stages.1.label,humpshroom withdrawal,label,驼峰撤退
ThoughtDef/HumpShroomWithdrawal.stages.1.description,I just feel nothing down there.,description,我只是在下面什么感觉都没有。
HediffDef/Chains.label,chains,label,枷锁
HediffDef/Chains.labelNoun,chains,labelNoun,枷锁
HediffDef/Chains.description,A series of chains that restrict its wearer.,description,一系列限制它的佩戴者的锁链。
HediffDef/BoundHands.label,bound hands,label,绑定双手
HediffDef/BoundHands.labelNoun,bound hands,labelNoun,绑定双手
HediffDef/BoundHands.description,Bound hands.,description,双手被绑住。
HediffDef/BoundLegs.label,bound legs,label,腿部
HediffDef/BoundLegs.labelNoun,bound legs,labelNoun,腿部
HediffDef/BoundLegs.description,Bound legs.,description,腿部被束缚。
HediffDef/RJW_Restraints.label,Restraints,label,限制
HediffDef/RJW_Restraints.labelNoun,restraints,labelNoun,限制
HediffDef/RJW_Restraints.description,A set of restraints.,description,一套束缚。
HediffDef/RJW_Cocoon.label,Cocoon,label,茧
HediffDef/RJW_Cocoon.labelNoun,A cocoon,labelNoun,一个茧
HediffDef/RJW_Cocoon.description,A cocoon that tends to its host until ready to procreate.,description,照料宿主直到可以生育的茧。
rjw.HediffDef_InsectEgg/RJW_UnknownEgg.label,generic insect egg,label,通用虫卵
rjw.HediffDef_InsectEgg/RJW_InsectHiveEgg.label,insectoid egg,label,虫族卵
rjw.HediffDef_MechImplants/RJW_MechanoidImplant.label,implanted mechanoid,label,植入机械体
HediffDef/FeelingBroken.label,Feeling broken,label,精神崩溃
HediffDef/FeelingBroken.description,Mind broken. No longer capable of emotion.,description,精神崩溃了。无法再表达感情了。
HediffDef/FeelingBroken.stages.0.label,early-stage,label,早期
HediffDef/FeelingBroken.stages.1.label,in a trance,label,正在恍惚中
HediffDef/FeelingBroken.stages.2.label,broken,label,受伤
HediffDef/FeelingBroken.stages.3.label,Extremely broken,label,极度崩溃
HediffDef/RJW_IUD.label,IUD,label,节育器
HediffDef/RJW_IUD.description,A small silver device inserted into the womb that greatly reduces the chance of pregnancy.,description,置入子宫内的小型白银装置，大大降低了怀孕的几率。
HediffDef/IncreasedFertility.label,Fertile,label,强繁殖力
HediffDef/IncreasedFertility.description,"Increased fertility, for baby making.",description,提高生育能力，用于制造婴儿。
HediffDef/DecreasedFertility.label,Infertile,label,不育
HediffDef/DecreasedFertility.description,"Low fertility, not for baby making.",description,低生育能力，不可生育。
HediffDef/ImpregnationBlocker.label,Archotech pregnancy blocker,label,超凡智能怀孕阻滞器
HediffDef/ImpregnationBlocker.description,A complex device that prevents fertilization and pregnancy.,description,一个阻止受精和怀孕的复杂设备。
HediffDef/FertilityEnhancer.label,Archotech fertility enhancer,label,超凡科技生育增强装置
HediffDef/FertilityEnhancer.description,A complex device that increases the likelihood of pregnancy.,description,一个复杂的设备，增加怀孕的可能性。
HediffDef/RJW_Orgasm.label,Orgasm,label,高潮
HediffDef/RJW_Orgasm.description,"""Ohh, yeahh, hah, hnnh, OH!""",description,“啊呀，啊呀，啊呀，啊呀!”
HediffDef/RJW_Orgasm.stages.0.label,Slightly,label,轻微
HediffDef/RJW_Orgasm.stages.1.label,Heavy,label,重型
HediffDef/RJW_Orgasm.stages.2.label,Extremely,label,极度
HediffDef/TransportCums.description,Cumming inside.,description,里面有卡明斯。
HediffDef/TransportEggs.description,Laying egg inside.,description,里面正在产卵。
HediffDef/PegArm.label,peg arm,label,木臂
HediffDef/PegArm.labelNoun,a peg arm,labelNoun,一个木臂
HediffDef/PegArm.description,A peg arm.,description,木臂。
HediffDef/Humanlike_Paraphilia.label,humanlike paraphilia,label,人类教派
HediffDef/Humanlike_Paraphilia.labelNoun,humanlike paraphilia,labelNoun,人类教派
HediffDef/Humanlike_Paraphilia.description,"Animal experiencing sexual attraction to Humanlikes. At some point, an animal might even refuse to mate with other animals",description,正在体验对人的性吸引的动物。在某个时候，动物甚至可能拒绝与其他动物配对
HediffDef/Humanlike_Paraphilia.stages.0.label,Initial curiosity,label,最初的好奇心
HediffDef/Humanlike_Paraphilia.stages.1.label,Attracted,label,已吸引
HediffDef/Humanlike_Paraphilia.stages.2.label,Focused,label,专注力
HediffDef/Humanlike_Paraphilia.stages.3.label,Fixated,label,固定
HediffDef/Humanlike_Paraphilia.stages.4.label,Obsessed,label,无法自拔
HediffDef/RJW_BabyState.label,child is growing,label,孩子正在成长
HediffDef/RJW_BabyState.description,A growing child.,description,成长中的孩子。
HediffDef/RJW_BabyState.stages.0.label,baby,label,婴儿
HediffDef/RJW_BabyState.stages.1.label,toddler,label,蹒跚学步的孩子
HediffDef/RJW_BabyState.stages.2.label,child,label,孩子
HediffDef/RJW_NoManipulationFlag.label,Too young to work,label,年轻不能工作
HediffDef/RJW_NoManipulationFlag.description,Too young to work.,description,还太年轻，无法工作。
HediffDef/Sterilized.description,Unable to reproduce.,description,无法繁育。
HediffDef/Sterilized.label,sterilized,label,已绝育
HediffDef/Hediff_Submitting.label,Prostrating self,label,跪拜
HediffDef/Hediff_Submitting.description,Submitting.,description,提交。
HediffDef/Hediff_RapeEnemyCD.label,rape enemy cooldown,label,强奸敌人的冷却时间
HediffDef/Hediff_RapeEnemyCD.description,"""Who's next?""",description,“下一个目标是谁？”
HediffDef/hediff_male2trap.label,male2trap,label,恶意陷阱
HediffDef/hediff_male2female.label,male2female,label,男性 2 雌性
HediffDef/hediff_male2futa.label,male2futa,label,意像意像
HediffDef/hediff_female2trap.label,female2trap,label,母象 2 陷阱
HediffDef/hediff_female2male.label,female2male,label,母象 e2 公
HediffDef/hediff_female2futa.label,female2futa,label,母象 2futa
HediffDef/hediff_futa2trap.label,futa2trap,label,Futa2trap
HediffDef/hediff_futa2male.label,futa2male,label,Futa2male
HediffDef/hediff_futa2female.label,futa2female,label,Futa2 雌性
HediffDef/hediff_trap2futa.label,trap2futa,label,陷阱 2 伏塔
HediffDef/hediff_trap2male.label,trap2male,label,陷阱 2 公
HediffDef/hediff_trap2female.label,trap2female,label,陷阱 2 雌性
HediffDef/hediff_was_boy.label,was_boy,label,Was_boy
HediffDef/hediff_was_girl.label,was_girl,label,Was_girl
HediffDef/hediff_was_futa.label,was_futa,label,雪婆
HediffDef/hediff_was_trap.label,was_trap,label,Was_trap
HistoryEventDef/GoodwillChangedReason_RemovedBodyPart.label,Removed BodyPart,label,移除身体部件
IncidentDef/NymphJoins.label,nymph joins,label,若虫加入
IncidentDef/NymphVisitor.label,nymph visitor,label,灵能访客
IncidentDef/NymphVisitorGroupEasy.label,nymph raid(easy),label,若虫袭击 (容易)
IncidentDef/NymphVisitorGroupHard.label,nymph raid(hard),label,若虫袭击 (艰难)
InteractionDef/AnimalSexChat.label,animal chat,label,与动物交流
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.0,r_logentry(p=20)->[INITIATOR_nameDef] [zooact] [RECIPIENT_nameDef].,li,R_logentry (p = 20)->[INITIATOR_nameDef] [zooact] [RECIPIENT_nameDef]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.1,r_logentry->[INITIATOR_nameDef] sat near [RECIPIENT_nameDef] and talked to [INITIATOR_objective]self about [TalkTopicSex].,li,R_logentry->[INITIATOR_nameDef]坐在附近[RECIPIENT_nameDef]和他人交谈[INITIATOR_objective]自我[TalkTopicSex]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.2,r_logentry->[INITIATOR_nameDef] sat near [RECIPIENT_nameDef] and talked to [INITIATOR_objective]self about [TalkTopicAny].,li,R_logentry->[INITIATOR_nameDef]坐在附近[RECIPIENT_nameDef]和他人交谈[INITIATOR_objective]自我[TalkTopicAny]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.3,r_logentry->[INITIATOR_nameDef] approached [RECIPIENT_nameDef] while whispering to [INITIATOR_objective]self about [TalkTopicSex].,li,R_logentry->[INITIATOR_nameDef]已接近[RECIPIENT_nameDef]窃窃私语[INITIATOR_objective]自我[TalkTopicSex]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.4,r_logentry->[INITIATOR_nameDef] approached [RECIPIENT_nameDef] while whispering to [INITIATOR_objective]self about [TalkTopicAny].,li,R_logentry->[INITIATOR_nameDef]已接近[RECIPIENT_nameDef]窃窃私语[INITIATOR_objective]自我[TalkTopicAny]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.5,r_logentry(p=2)->[INITIATOR_nameDef] came near [RECIPIENT_nameDef] while talking to [INITIATOR_objective]self about [TalkTopicSex].,li,R_logentry (p = 2)->[INITIATOR_nameDef]靠近[RECIPIENT_nameDef]一边和[INITIATOR_objective]自我[TalkTopicSex]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.6,r_logentry->[INITIATOR_nameDef] came near [RECIPIENT_nameDef] while talking to [INITIATOR_objective]self about [TalkTopicAny].,li,R_logentry->[INITIATOR_nameDef]靠近[RECIPIENT_nameDef]一边和[INITIATOR_objective]自我[TalkTopicAny]没有。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.7,r_logentry->[INITIATOR_nameDef] tried to make [RECIPIENT_nameDef] sit still.,li,R_logentry->[INITIATOR_nameDef]试图制造[RECIPIENT_nameDef]坐着别动。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.8,r_logentry->[INITIATOR_nameDef] attempted to hold [RECIPIENT_nameDef] still.,li,R_logentry->[INITIATOR_nameDef]试图收容[RECIPIENT_nameDef]安静。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.9,r_logentry->[INITIATOR_nameDef] slapped [RECIPIENT_nameDef] in a show of dominance.,li,R_logentry->[INITIATOR_nameDef]被拍打[RECIPIENT_nameDef]以示统治。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.10,r_logentry->[INITIATOR_nameDef] gently stroked [RECIPIENT_nameDef]'s genitals.,li,R_logentry->[INITIATOR_nameDef]轻轻抚慰[RECIPIENT_nameDef]它的生殖器。
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.11,"r_logentry->[INITIATOR_nameDef] grasped a vulnerable body part of [RECIPIENT_nameDef], demanding obedience.",li,"R_logentry->[INITIATOR_nameDef]抓住脆弱的身体部位[RECIPIENT_nameDef],要求服从。"
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.12,zooact->demanded obedience from,li,Zooact-> 要求服从
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.13,zooact->made calming noises towards,li,Zoop-> 悄无声息地靠近
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.14,"zooact->offered slow, friendly gestures to",li,Zooact-> 缓慢地作出友善的动作对
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.15,zooact->made shushing noises at,li,Zooact-> 发出嘘的声音给
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.16,zooact->made happy clicking noises at,li,Zooact-> 发出欢快的敲击声给
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.17,zooact->gestured gently and approached,li,Zoop-> 温柔地靠近
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.18,zooact->slowly approached,li,Zoop-> 慢慢接近
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.19,zooact->gently touched,li,Zoop-> 轻轻触摸
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.20,zooact->gently caressed,li,Zoop-> 温柔地爱抚
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.21,zooact->firmly stroked,li,Zoop-> 坚定地触摸
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.22,zooact->calmed and encouraged,li,Zoop-> 安抚并鼓励
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.23,zooact->matched breathing with,li,Zoop-> 保持同步呼吸频率
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.24,zooact->took a low stance while approaching,li,Zooact-> 靠近时态度低落
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.25,zooact->showed no fear or anger to,li,Zooact-> 无所畏惧地接近
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.26,zooact->firmly yet softly touched,li,Zoop-> 坚定而温柔地触摸
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.27,zooact->showed a relaxed attitude towards,li,Zooact-> 一脸轻松表情地接近
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.28,zooact->showed [INITIATOR_possessive] genitals to,li,Zoop-> 展示[INITIATOR_possessive]生殖器至
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.29,zooact->presented [INITIATOR_possessive] genitals to,li,Zoop-> 呈现[INITIATOR_possessive]生殖器至
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.30,zooact->whispered a story about [TalkTopicAny] to,li,Zoop-> 低声讲述一个故事[TalkTopicAny]到
InteractionDef/AnimalSexChat.logRulesInitiator.rulesStrings.31,zooact->whispered a story about [TalkTopicSex] to,li,Zoop-> 低声讲述一个故事[TalkTopicSex]到
InteractionDef/rjw_interaction_template.label,rjw_interaction_template,label,Rjw_interaction_模板
InteractionDef/rjw_interaction_template.logRulesInitiator.rulesStrings.0,r_logentry->had sex with [RECIPIENT_nameDef].,li,R_logentry-> 和他人发生性关系[RECIPIENT_nameDef]没有。
InteractionDef/rjw_interaction_template.logRulesRecipient.rulesStrings.0,r_logentry->had sex with [INITIATOR_nameDef].,li,R_logentry-> 和他人发生性关系[INITIATOR_nameDef]没有。
InteractionDef/rjw_interaction_template.modExtensions.0.RMBLabel,template,RMBLabel,模板
JobDef/GettinBred.reportString,gettin' bred.,reportString,被培育中。
JobDef/Breed.reportString,breeding,reportString,培育
JobDef/RJW_Mate.reportString,mating,reportString,配角
JobDef/Bestiality.reportString,lovin' animal,reportString,爱爱的动物
JobDef/BestialityForFemale.reportString,lovin' animal,reportString,爱爱的动物
JobDef/RJW_HackMechPregnancy.reportString,hacking implanted mech of TargetA.,reportString,正在将机械体植入 TargetA 体内。
JobDef/StruggleInBondageGear.reportString,struggling,reportString,挣扎中
JobDef/UnlockBondageGear.reportString,unlocking,reportString,解锁
JobDef/GiveBondageGear.reportString,equipping,reportString,装备
JobDef/RJW_Knotted.reportString,Knotted.,reportString,已打结。
JobDef/RJW_Masturbate.reportString,masturbatin'.,reportString,自慰。
JobDef/ViolateCorpse.reportString,violating corpse,reportString,侵犯尸体
JobDef/Quickie.reportString,doing quickie with TargetA.,reportString,正在使用 TargetA 加快速度。
JobDef/GettingQuickie.reportString,lovin'.,reportString,爱爱。
JobDef/GettinRaped.reportString,gettin' raped.,reportString,被强奸!
JobDef/RapeComfortPawn.reportString,rapin' CP,reportString,强奸
JobDef/RandomRape.reportString,raping.,reportString,强奸。
JobDef/RapeEnemy.reportString,rapin' enemy,reportString,掠夺敌人
JobDef/RapeEnemyByInsect.reportString,rapin' enemy,reportString,掠夺敌人
JobDef/RapeEnemyByAnimal.reportString,rapin' enemy,reportString,掠夺敌人
JobDef/RapeEnemyByMech.reportString,rapin' enemy,reportString,掠夺敌人
JobDef/RapeEnemyToParasite.reportString,rapin' enemy,reportString,掠夺敌人
JobDef/JoinInBed.reportString,joining TargetA in bed.,reportString,在床上与 TargetA 汇合。
JobDef/GettinLoved.reportString,lovin'.,reportString,爱爱。
JobDef/GettinLicked.reportString,gettin' licked.,reportString,被舔了。
JobDef/GettinSucked.reportString,gettin' sucked.,reportString,糟透了。
MeditationFocusDef/Sex.label,Sex,label,性别
rjw.SexualMentalStateDef/RandomRape.label,random rape,label,随机强奸
StatCategoryDef/RJW_OriginalPartOwner.label,ownership,label,所有权
rjw.MiscTranslationDef/rjw_vatgrown_sex_slave.label,Vat-Grown Sex Slave,label,培育中的性奴
rjw.MiscTranslationDef/rjw_vatgrown_sex_slave.description,"[PAWN_nameDef] was made to be a sex toy, rather than a human. During [PAWN_possessive] growing period, [PAWN_pronoun] was taught plenty of social and sex related skills to satisfy any demands of its owners.",description,[PAWN_nameDef]被做成性玩具，而不是人。在[PAWN_possessive]生长期[PAWN_pronoun]被教授了大量的社交和性别相关的技能来满足它的主人的任何需求。
rjw.MiscTranslationDef/rjw_feisty.label,Feisty Nymph,label,暴躁的若虫
rjw.MiscTranslationDef/rjw_feisty.description,"[PAWN_nameDef] is a conqueror by nature and will punch you in a face if you try to say ""No"" to [PAWN_possessive] advances.",description,[PAWN_nameDef]生性是征服者，如果你试图说 “不”，他会打你的脸[PAWN_possessive]进度。
rjw.MiscTranslationDef/rjw_curious.label,Curious Nymph,label,好奇若虫
rjw.MiscTranslationDef/rjw_curious.description,"[PAWN_nameDef] loves crafting various things, especially things that provide new experiences.",description,[PAWN_nameDef]喜欢制作各种物品，特别是那些能提供新的体验的物品。
rjw.MiscTranslationDef/rjw_tender.label,Tender Nymph,label,温柔若虫
rjw.MiscTranslationDef/rjw_tender.description,"[PAWN_nameDef] has a pair of charming eyes, and [PAWN_possessive] voice is soft and sweet. Due to [PAWN_possessive] previous nurse job, [PAWN_pronoun] tends people quite well.",description,"[PAWN_nameDef]有着一双迷人的眼睛[PAWN_possessive]声音轻柔而甜美。由于[PAWN_possessive]之前的护士工作,[PAWN_pronoun]善待他人。"
rjw.MiscTranslationDef/rjw_chatty.label,Chatty Nymph,label,健谈的若虫
rjw.MiscTranslationDef/rjw_chatty.description,"No one can be more loquacious than [PAWN_nameDef]. [PAWN_pronoun] has a flexible tongue, a sharp mind, and hot lips.",description,没有人比这更健谈了。[PAWN_nameDef]没有。[PAWN_pronoun]拥有灵活的舌头，犀利的头脑和炽热的嘴唇。
rjw.MiscTranslationDef/rjw_broken.label,Broken Nymph,label,破碎仙
rjw.MiscTranslationDef/rjw_broken.description,"[PAWN_nameDef] suffered some terrible things, [PAWN_pronoun] looks rather emaciated.",description,"[PAWN_nameDef]遭受了一些可怕的事情,[PAWN_pronoun]看起来相当瘦削。"
NeedDef/Sex.label,sex,label,性别
NeedDef/Sex.description,"Represents fulfillment of sexual need, which is gained by doing sexual related activities and declined by time & turn-ons.",description,表示满足性需求，这种需求是通过进行与性有关的活动获得的，但随着时间和时间的推移而下降。
PawnCapacityDef/RJW_Fertility.label,fertility,label,肥沃度
PawnKindDef/Nymph.label,nymph,label,若虫
PawnRelationDef/RJW_Sire.label,father,label,父亲
PawnRelationDef/RJW_Pup.label,son,label,儿子
PawnRelationDef/Child_Beast.label,son,label,儿子
PawnRelationDef/Sibling_Beast.label,brother,label,兄弟
PawnRelationDef/HalfSibling_Beast.label,brother,label,兄弟
PawnRelationDef/Grandparent_Beast.label,grandfather,label,祖父
PawnRelationDef/Grandchild_Beast.label,grandson,label,孙子
PawnRelationDef/NephewOrNiece_Beast.label,nephew,label,侄子
PawnRelationDef/UncleOrAunt_Beast.label,uncle,label,叔父
PawnRelationDef/Cousin_Beast.label,cousin,label,堂表兄弟
PawnRelationDef/GreatGrandparent_Beast.label,great grandfather,label,曾祖父
PawnRelationDef/GreatGrandchild_Beast.label,great grandson,label,曾孙子
PawnRelationDef/GranduncleOrGrandaunt_Beast.label,granduncle,label,叔公
PawnRelationDef/GrandnephewOrGrandniece_Beast.label,grandnephew,label,Nephew 孙子
PawnRelationDef/CousinOnceRemoved_Beast.label,cousin once removed,label,表亲
PawnRelationDef/SecondCousin_Beast.label,second cousin,label,远房表亲
rjw.SexFluidDef/Honey.label,honey,label,蜂蜜
RecipeDef/RJW_AbortionMech.label,Neutralize mechanoid,label,压制机械体
RecipeDef/RJW_AbortionMech.description,Safely neutralize mechanoid nanites.,description,安全地中和机械体纳米粒子。
RecipeDef/RJW_HackMech.label,Hack mechanoid,label,破解机械体
RecipeDef/RJW_HackMech.description,"Hack mechanoid AI, cutting it from global mechanoid AI, results docile(unless provoked) mechanoid.",description,破解机械体人工智能，并将其从全球机械体人工智能中删除，结果是温顺的 (除非被激怒) 机械体。
RecipeDef/claimChild.label,Claim child,label,收养孩子
